is_same,distance,approach
False,836.7444914514191,after-conv13-dist2
False,824.010868943919,after-conv13-dist2
False,792.626820495966,after-conv13-dist2
False,1003.4409413889838,after-conv13-dist2
False,751.8543859291481,after-conv13-dist2
False,735.1416424337413,after-conv13-dist2
False,778.0806069759744,after-conv13-dist2
False,907.7683066638326,after-conv13-dist2
False,841.7630451804644,after-conv13-dist2
False,822.3448908525838,after-conv13-dist2
False,744.745260996019,after-conv13-dist2
False,764.8130892107459,after-conv13-dist2
False,865.5475455012227,after-conv13-dist2
False,807.8794491863454,after-conv13-dist2
False,828.3888204305515,after-conv13-dist2
False,891.9127407127933,after-conv13-dist2
False,747.2086346009228,after-conv13-dist2
False,958.0031202419331,after-conv13-dist2
False,689.9113355577489,after-conv13-dist2
False,870.5674091082913,after-conv13-dist2
False,647.956771280454,after-conv13-dist2
False,824.1255550026108,after-conv13-dist2
False,670.9244456320051,after-conv13-dist2
False,719.9920082326662,after-conv13-dist2
False,964.1486325290746,after-conv13-dist2
False,1014.911624252207,after-conv13-dist2
False,703.67713451386,after-conv13-dist2
False,953.362706877193,after-conv13-dist2
False,643.2228279436863,after-conv13-dist2
False,727.1011907706401,after-conv13-dist2
False,969.8644691242921,after-conv13-dist2
False,749.2168226816123,after-conv13-dist2
False,907.5843312779556,after-conv13-dist2
False,730.174123005849,after-conv13-dist2
False,767.1120592404487,after-conv13-dist2
False,959.3249570509893,after-conv13-dist2
False,613.3626277740188,after-conv13-dist2
False,804.0795479807691,after-conv13-dist2
False,602.0768494766824,after-conv13-dist2
False,945.4130564081543,after-conv13-dist2
False,724.6397752088885,after-conv13-dist2
False,944.9654388887075,after-conv13-dist2
False,1062.8871774560262,after-conv13-dist2
False,905.0754324402393,after-conv13-dist2
False,755.6032554912274,after-conv13-dist2
False,912.9040024654407,after-conv13-dist2
False,675.5140867717557,after-conv13-dist2
False,812.3373986474992,after-conv13-dist2
False,736.4328723732112,after-conv13-dist2
False,962.4369966449625,after-conv13-dist2
False,735.1655825577141,after-conv13-dist2
False,924.3931981466218,after-conv13-dist2
False,956.9191173063518,after-conv13-dist2
False,851.5945097314335,after-conv13-dist2
False,635.4981162718168,after-conv13-dist2
False,883.2340925480379,after-conv13-dist2
False,987.5289583411909,after-conv13-dist2
False,784.3990283557333,after-conv13-dist2
False,866.2384988692129,after-conv13-dist2
False,860.6055360376389,after-conv13-dist2
False,624.6228291764601,after-conv13-dist2
False,668.4484328780796,after-conv13-dist2
False,793.9667468078408,after-conv13-dist2
False,867.3965721034763,after-conv13-dist2
False,813.0678787031958,after-conv13-dist2
False,969.275819816833,after-conv13-dist2
False,732.3786906756671,after-conv13-dist2
False,604.3589754189986,after-conv13-dist2
False,682.7342022482494,after-conv13-dist2
False,628.670840262785,after-conv13-dist2
False,880.5324534574694,after-conv13-dist2
False,1186.238793075197,after-conv13-dist2
False,836.8287907336914,after-conv13-dist2
False,948.8182238251892,after-conv13-dist2
False,828.1949350055598,after-conv13-dist2
False,749.79135777967,after-conv13-dist2
