epoch,subset,total_cases,rank1,rank2,rank5,rank
30,test,66,24,28,34,41
35,train,230,184,206,220,226
35,test,66,25,27,33,43
40,train,230,200,208,224,228
40,test,66,30,34,36,42
45,train,230,178,194,216,223
45,test,66,28,34,37,39
50,train,230,186,209,223,229
50,test,66,26,29,34,39
55,train,230,169,193,215,225
55,test,66,30,31,37,40
60,train,230,177,209,220,227
60,test,66,25,32,35,41
65,train,230,184,207,220,225
65,test,66,28,31,38,43
70,train,230,188,210,224,228
70,test,66,30,31,36,39
75,train,230,177,209,222,226
75,test,66,21,29,35,41
80,train,230,182,213,222,228
80,test,66,25,31,38,43
85,train,230,175,198,223,227
85,test,66,25,28,35,39
90,train,230,195,214,226,229
90,test,66,26,32,37,41
95,train,230,186,211,220,225
95,test,66,24,30,36,41
100,train,230,185,212,224,230
100,test,66,23,31,38,42
105,train,230,174,199,221,225
105,test,66,28,36,39,42
110,train,230,191,209,223,227
110,test,66,28,32,38,40
115,train,230,197,213,226,230
115,test,66,27,30,35,42
120,train,230,192,214,224,228
120,test,66,30,35,39,43
125,train,230,199,214,226,228
125,test,66,28,31,39,43
130,train,230,189,206,221,227
130,test,66,34,36,40,46
135,train,230,195,216,226,228
135,test,66,27,29,37,42
140,train,230,194,210,226,229
140,test,66,28,32,41,42
145,train,230,186,209,220,229
145,test,66,32,37,41,45
150,train,230,192,212,227,229
150,test,66,28,34,38,42
155,train,230,195,216,227,228
155,test,66,31,34,37,42
160,train,230,189,211,226,228
160,test,66,31,35,39,45
165,train,230,198,212,225,227
165,test,66,32,34,38,42
170,train,230,188,211,224,229
170,test,66,29,33,38,42
175,train,230,199,217,225,226
175,test,66,29,33,37,44
180,train,230,210,220,228,229
180,test,66,27,32,39,45
185,train,230,189,205,224,229
185,test,66,28,34,40,43
190,train,230,194,214,225,230
190,test,66,27,32,40,43
195,train,230,195,212,225,227
195,test,66,24,29,38,42
200,train,230,203,217,227,228
200,test,66,27,34,40,43
205,train,230,206,216,225,229
205,test,66,29,35,38,44
210,train,230,194,216,224,228
210,test,66,28,33,37,42
215,train,230,207,217,227,228
215,test,66,29,32,40,44
220,train,230,197,218,227,228
220,test,66,27,32,38,44
225,train,230,191,212,229,229
225,test,66,28,33,41,42
230,train,230,202,221,225,228
230,test,66,32,34,37,44
235,train,230,196,218,223,226
235,test,66,27,34,38,44
240,train,230,208,216,225,226
240,test,66,27,34,41,45
245,train,230,201,212,226,229
245,test,66,27,31,40,45
250,train,230,205,217,225,228
250,test,66,26,31,37,44
