amphibian dataset (classes=185, train_cases=307, test_cases=126 (29.1%), total_cases=433)
train dataset results:
rank,count,frequency
28,112,0.6054054054054054
29,112,0.6054054054054054
30,112,0.6054054054054054
31,112,0.6054054054054054
32,112,0.6054054054054054
33,114,0.6162162162162163
34,115,0.6216216216216216
35,115,0.6216216216216216
36,116,0.6270270270270271
37,117,0.6324324324324324
38,118,0.6378378378378379
39,118,0.6378378378378379
40,119,0.6432432432432432
41,119,0.6432432432432432
42,119,0.6432432432432432
43,119,0.6432432432432432
44,119,0.6432432432432432
45,119,0.6432432432432432
46,119,0.6432432432432432
47,119,0.6432432432432432
48,119,0.6432432432432432
49,119,0.6432432432432432
50,119,0.6432432432432432
51,119,0.6432432432432432
52,119,0.6432432432432432
53,119,0.6432432432432432
54,120,0.6486486486486487
55,120,0.6486486486486487
56,121,0.654054054054054
57,121,0.654054054054054
58,121,0.654054054054054
