epoch,subset,total_cases,rank1,rank2,rank5,rank
5,test,126,26,39,54,64
10,train,307,159,199,233,252
10,test,126,27,38,57,65
15,train,307,174,199,235,261
15,test,126,24,28,45,63
20,train,307,189,217,259,277
20,test,126,25,34,53,66
25,train,307,184,220,259,283
25,test,126,26,36,57,66
30,train,307,191,220,262,283
30,test,126,24,35,56,69
35,train,307,206,237,262,277
35,test,126,31,43,58,66
40,train,307,205,234,262,279
40,test,126,23,32,51,67
45,train,307,212,243,270,292
45,test,126,27,35,51,64
50,train,307,220,248,284,291
50,test,126,23,31,54,67
55,train,307,197,244,273,290
55,test,126,34,43,58,72
60,train,307,219,255,281,296
60,test,126,24,34,52,63
65,train,307,224,253,280,291
65,test,126,24,34,53,66
70,train,307,234,265,285,296
70,test,126,24,34,48,63
75,train,307,239,261,289,296
75,test,126,30,38,55,67
80,train,307,239,261,287,294
80,test,126,26,45,62,71
85,train,307,236,256,279,296
85,test,126,25,34,55,69
90,train,307,241,269,289,300
90,test,126,36,45,65,76
95,train,307,236,264,293,303
95,test,126,18,27,50,60
100,train,307,235,264,288,296
100,test,126,29,45,59,72
105,train,307,252,274,300,301
105,test,126,29,42,60,73
110,train,307,243,270,292,296
110,test,126,26,39,54,68
115,train,307,244,262,284,296
115,test,126,22,34,54,73
120,train,307,251,276,296,303
120,test,126,34,53,65,78
125,train,307,264,280,295,298
125,test,126,30,42,56,67
130,train,307,265,287,301,304
130,test,126,21,36,54,74
135,train,307,251,279,293,297
135,test,126,25,37,60,72
140,train,307,257,281,298,301
140,test,126,27,39,57,71
145,train,307,245,273,297,301
145,test,126,25,37,58,69
150,train,307,266,283,301,304
150,test,126,28,44,59,73
155,train,307,264,282,296,303
155,test,126,35,50,65,80
160,train,307,277,291,304,306
160,test,126,38,44,58,75
165,train,307,255,271,292,302
165,test,126,37,50,64,78
170,train,307,283,292,304,306
170,test,126,31,48,67,79
175,train,307,275,295,305,306
175,test,126,33,46,64,76
180,train,307,269,281,299,304
180,test,126,37,52,69,84
185,train,307,267,284,298,303
185,test,126,29,42,61,75
190,train,307,283,292,304,305
190,test,126,27,43,66,81
195,train,307,287,297,302,305
195,test,126,32,46,69,79
200,train,307,285,297,302,305
200,test,126,36,50,69,82
205,train,307,274,290,304,307
205,test,126,37,49,67,79
210,train,307,284,294,302,305
210,test,126,30,47,71,80
215,train,307,272,291,301,305
215,test,126,33,47,69,79
220,train,307,283,296,306,306
220,test,126,41,52,70,85
225,train,307,270,287,301,304
225,test,126,44,53,65,75
230,train,307,277,295,302,304
230,test,126,36,53,68,80
235,train,307,283,293,303,306
235,test,126,33,49,63,74
240,train,307,284,294,303,306
240,test,126,41,55,70,81
245,train,307,284,293,302,306
245,test,126,38,52,65,77
250,train,307,285,294,305,305
250,test,126,39,49,65,77
255,train,307,295,302,307,307
255,test,126,40,56,66,77
260,train,307,274,288,300,303
260,test,126,44,57,70,86
